,Number,Label,Brand,Title,price,Review_Number,href,date
53,54,Exclusive,Hampton Bay,Zandra 52 in. White Changing Integrated LED Brushed Nickel Smart Hubspace Ceiling Fan with Light Kit and Remote Included,$209.00,128,https://www.homedepot.com/p/Hampton-Bay-Zandra-52-in-White-Changing-Integrated-LED-Brushed-Nickel-Smart-Hubspace-Ceiling-Fan-with-Light-Kit-and-Remote-Included-92380/322700728,2024-07-11
54,55,Sponsored,Designers Fountain,Cassini 52 in. Smart Indoor/Covered Outdoor Matte Black Modern Adjustable White and RGB Ceiling Fan Light with Remote,$199.00,36,https://www.homedepot.com/p/Designers-Fountain-Cassini-52-in-Smart-Indoor-Covered-Outdoor-Matte-Black-Modern-Adjustable-White-and-RGB-Ceiling-Fan-Light-with-Remote-FS-CSN52RGB-MB/328196694,2024-07-11
55,56,Sponsored,,20 in. Indoor 4-Light Black Farmhouse Caged Ceiling Fan with Light Small Bladeless Ceiling fan with Remote,$149.99,10,https://www.homedepot.com/p/20-in-Indoor-4-Light-Black-Farmhouse-Caged-Ceiling-Fan-with-Light-Small-Bladeless-Ceiling-fan-with-Remote-HD-CG-01/325597217,2024-07-11
56,57,Sponsored,Edvivi,52 in. Indoor Brushed Nickel 5-Blade Modern Reversible Ceiling Fan with Light Kit and Pull Chain,$120.04,2,https://www.homedepot.com/p/Edvivi-52-in-Indoor-Brushed-Nickel-5-Blade-Modern-Reversible-Ceiling-Fan-with-Light-Kit-and-Pull-Chain-FSJ7701BN/326804520,2024-07-11
57,58,Exclusive,,"Cassique 52 in. Integrated LED Indoor/Outdoor Matte White Selectable CCT Ceiling Fan with Light, Remote Control",$199.00,15,https://www.homedepot.com/p/Cassique-52-in-Integrated-LED-Indoor-Outdoor-Matte-White-Selectable-CCT-Ceiling-Fan-with-Light-Remote-Control-FR-CSQ52C5-MWBG/328205842,2024-07-11
58,59,Exclusive,Hampton Bay,Scenic 52 in. Integrated LED Indoor Brushed Nickel Hugger Ceiling Fan with Reversible Motor & Reversible Blades Included,$119.00,153,https://www.homedepot.com/p/Hampton-Bay-Scenic-52-in-Integrated-LED-Indoor-Brushed-Nickel-Hugger-Ceiling-Fan-with-Reversible-Motor-Reversible-Blades-Included-92302/322699756,2024-07-11
59,60,Exclusive,Home Decorators Collection,"Windward IV 52 in. Indoor LED Matte White Ceiling Fan with Dimmable Light Kit, Remote Control and Reversible Motor",$169.00,2369,https://www.homedepot.com/p/Home-Decorators-Collection-Windward-IV-52-in-Indoor-LED-Matte-White-Ceiling-Fan-with-Dimmable-Light-Kit-Remote-Control-and-Reversible-Motor-26662/301163151,2024-07-11
60,61,,Hunter,Invector 60 in. Indoor/Outdoor Matte Black Ceiling Fan with Light and Remote Control,$299.00,71,https://www.homedepot.com/p/Hunter-Invector-60-in-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Light-and-Remote-Control-51407/316999729,2024-07-11
61,62,Exclusive,Hunter,Oakhurst 52 in. LED Indoor Low Profile Brushed Nickel Ceiling Fan with Light Kit,$114.00,2512,https://www.homedepot.com/p/Hunter-Oakhurst-52-in-LED-Indoor-Low-Profile-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-52125/300593307,2024-07-11
62,63,Sponsored,Honeywell,Lynton 52 in. Indoor/Outdoor Color Changing LED Matte Black Ceiling Fan with Remote Control & High-Performance Blades,$229.99,30,https://www.homedepot.com/p/Honeywell-Lynton-52-in-Indoor-Outdoor-Color-Changing-LED-Matte-Black-Ceiling-Fan-with-Remote-Control-High-Performance-Blades-51854-07/329464574,2024-07-11
63,64,Top Rated,Home Decorators Collection,Merwry 48 in. Integrated LED Indoor White Ceiling Fan with Light Kit and Remote Control,$119.00,4781,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-48-in-Integrated-LED-Indoor-White-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422-48in-WH/306133909,2024-07-11
